"Time (s)"	"Magnetic field x (µT)"	"Magnetic field y (µT)"	"Magnetic field z (µT)"
2.010238942E0	1.151999950E1	-3.473999786E1	-2.855999947E1
2.018332057E0	1.169999981E1	-3.438000107E1	-2.843999863E1
2.026458057E0	1.139999962E1	-3.443999863E1	-2.873999977E1
2.034566480E0	1.127999973E1	-3.468000031E1	-2.850000000E1
2.042699750E0	1.103999996E1	-3.509999847E1	-2.885999870E1
2.050796326E0	1.085999966E1	-3.552000046E1	-2.897999954E1
2.058906480E0	1.103999996E1	-3.534000015E1	-2.897999954E1
2.067041749E0	1.127999973E1	-3.486000061E1	-2.945999908E1
2.075135211E0	1.146000004E1	-3.443999863E1	-2.903999901E1
2.083336596E0	1.157999992E1	-3.468000031E1	-2.831999969E1
2.091434288E0	1.127999973E1	-3.473999786E1	-2.747999954E1
2.099528403E0	1.067999935E1	-3.534000015E1	-2.609999847E1
2.107642903E0	1.019999981E1	-3.515999985E1	-2.573999977E1
2.115736942E0	1.038000011E1	-3.461999893E1	-2.585999870E1
2.123867095E0	1.031999969E1	-3.443999863E1	-2.561999893E1
2.131977557E0	1.038000011E1	-3.425999832E1	-2.585999870E1
2.140069480E0	1.013999939E1	-3.443999863E1	-2.603999901E1
2.148181903E0	9.599999428E0	-3.479999924E1	-2.543999863E1
2.156287057E0	9.239999771E0	-3.486000061E1	-2.573999977E1
2.164477749E0	9.059999466E0	-3.497999954E1	-2.573999977E1
2.172573364E0	9.899999619E0	-3.509999847E1	-2.568000031E1
2.180680864E0	1.043999958E1	-3.491999817E1	-2.681999969E1
2.188804134E0	1.097999954E1	-3.527999878E1	-2.639999962E1
2.196896903E0	1.157999992E1	-3.515999985E1	-2.687999916E1
2.205032172E0	1.085999966E1	-3.563999939E1	-2.663999939E1
2.213125749E0	1.092000008E1	-3.581999969E1	-2.573999977E1
2.221217441E0	1.134000015E1	-3.545999908E1	-2.585999870E1
2.229330441E0	1.163999939E1	-3.539999771E1	-2.592000008E1
2.237421557E0	1.205999947E1	-3.497999954E1	-2.603999901E1
2.245614633E0	1.247999954E1	-3.486000061E1	-2.663999939E1
2.253722556E0	1.277999973E1	-3.515999985E1	-2.718000031E1
2.261814864E0	1.284000015E1	-3.527999878E1	-2.718000031E1
2.269939479E0	1.331999969E1	-3.515999985E1	-2.705999947E1
2.278046787E0	1.301999950E1	-3.545999908E1	-2.663999939E1
2.286180826E0	1.265999985E1	-3.515999985E1	-2.639999962E1
2.294275672E0	1.235999966E1	-3.539999771E1	-2.639999962E1
2.302381672E0	1.188000011E1	-3.552000046E1	-2.621999931E1
2.310482825E0	1.157999992E1	-3.539999771E1	-2.627999878E1
2.318574518E0	1.146000004E1	-3.557999802E1	-2.579999924E1
2.326763556E0	1.127999973E1	-3.575999832E1	-2.501999855E1
2.334858172E0	1.169999981E1	-3.557999802E1	-2.537999916E1
2.342950479E0	1.211999989E1	-3.545999908E1	-2.531999969E1
2.351064095E0	1.230000019E1	-3.600000000E1	-2.550000000E1
2.359156556E0	1.253999996E1	-3.581999969E1	-2.585999870E1
2.367276902E0	1.265999985E1	-3.618000031E1	-2.568000031E1
2.375384902E0	1.296000004E1	-3.636000061E1	-2.579999924E1
2.383477594E0	1.271999931E1	-3.593999863E1	-2.543999863E1
2.391602864E0	1.296000004E1	-3.600000000E1	-2.537999916E1
2.399708902E0	1.284000015E1	-3.563999939E1	-2.507999992E1
2.407899825E0	1.223999977E1	-3.539999771E1	-2.465999985E1
2.415994594E0	1.235999966E1	-3.509999847E1	-2.561999893E1
2.424101402E0	1.230000019E1	-3.486000061E1	-2.579999924E1
2.432224479E0	1.217999935E1	-3.497999954E1	-2.573999977E1
2.440315440E0	1.200000000E1	-3.527999878E1	-2.627999878E1
2.448427940E0	1.205999947E1	-3.570000076E1	-2.561999893E1
2.456521363E0	1.223999977E1	-3.570000076E1	-2.585999870E1
2.464612863E0	1.205999947E1	-3.588000107E1	-2.597999954E1
2.472724363E0	1.253999996E1	-3.552000046E1	-2.573999977E1
2.480813325E0	1.235999966E1	-3.509999847E1	-2.615999985E1
2.488924902E0	1.163999939E1	-3.552000046E1	-2.609999847E1
2.497037863E0	1.217999935E1	-3.539999771E1	-2.676000023E1
2.505127979E0	1.200000000E1	-3.570000076E1	-2.759999847E1
2.513250132E0	1.205999947E1	-3.575999832E1	-2.789999962E1
2.521356517E0	1.247999954E1	-3.534000015E1	-2.855999947E1
2.529455286E0	1.175999928E1	-3.534000015E1	-2.855999947E1
2.537546517E0	1.181999969E1	-3.504000092E1	-2.826000023E1
2.545650978E0	1.200000000E1	-3.450000000E1	-2.795999908E1
2.553782863E0	1.205999947E1	-3.473999786E1	-2.777999878E1
2.561870171E0	1.235999966E1	-3.402000046E1	-2.819999886E1
2.570056632E0	1.205999947E1	-3.384000015E1	-2.861999893E1
2.578147709E0	1.247999954E1	-3.359999847E1	-2.909999847E1
2.586237094E0	1.200000000E1	-3.293999863E1	-2.915999985E1
2.594349978E0	1.181999969E1	-3.275999832E1	-2.927999878E1
2.602440170E0	1.169999981E1	-3.245999908E1	-3.000000000E1
2.610580786E0	1.055999947E1	-3.270000076E1	-3.084000015E1
2.618689401E0	1.013999939E1	-3.311999893E1	-3.167999840E1
2.626779940E0	9.659999847E0	-3.288000107E1	-3.209999847E1
2.634903478E0	9.300000191E0	-3.270000076E1	-3.281999969E1
2.643009286E0	8.519999504E0	-3.239999771E1	-3.329999924E1
2.651198940E0	8.159999847E0	-3.126000023E1	-3.407999802E1
2.659291401E0	7.379999638E0	-3.126000023E1	-3.545999908E1
2.667397170E0	6.599999905E0	-3.095999908E1	-3.557999802E1
2.675518170E0	6.659999847E0	-3.023999977E1	-3.629999924E1
2.683606593E0	5.940000057E0	-2.993999863E1	-3.636000061E1
2.691738324E0	5.519999981E0	-2.951999855E1	-3.623999786E1
2.699828016E0	5.400000095E0	-2.915999985E1	-3.671999741E1
2.707918747E0	5.159999847E0	-2.885999870E1	-3.671999741E1
2.716029862E0	5.219999790E0	-2.892000008E1	-3.713999939E1
2.724118824E0	5.279999733E0	-2.892000008E1	-3.720000076E1
2.732330324E0	5.159999847E0	-2.879999924E1	-3.707999802E1
2.740437978E0	4.679999828E0	-2.909999847E1	-3.731999969E1
2.748527362E0	4.440000057E0	-2.915999985E1	-3.684000015E1
2.756647055E0	4.559999943E0	-2.861999893E1	-3.654000092E1
2.764750324E0	4.440000057E0	-2.879999924E1	-3.600000000E1
2.772866247E0	4.500000000E0	-2.873999977E1	-3.521999741E1
2.780958093E0	4.799999714E0	-2.892000008E1	-3.521999741E1
2.789061554E0	4.559999943E0	-2.963999939E1	-3.515999985E1
2.797192708E0	4.619999886E0	-2.939999962E1	-3.527999878E1
2.805281824E0	4.980000019E0	-2.969999886E1	-3.497999954E1
2.813475862E0	4.920000076E0	-2.981999969E1	-3.486000061E1
2.821569516E0	4.440000057E0	-3.000000000E1	-3.455999756E1
2.829659708E0	4.619999886E0	-3.017999840E1	-3.443999863E1
2.837770823E0	4.259999752E0	-3.042000008E1	-3.455999756E1
2.845859823E0	4.739999771E0	-3.059999847E1	-3.443999863E1
2.854080054E0	4.980000019E0	-3.042000008E1	-3.450000000E1
2.862187785E0	5.279999733E0	-3.042000008E1	-3.395999908E1
2.870278169E0	5.579999924E0	-3.029999924E1	-3.389999771E1
2.878400246E0	5.159999847E0	-3.053999901E1	-3.359999847E1
2.886506054E0	5.339999676E0	-3.113999939E1	-3.318000031E1
2.894691054E0	5.879999638E0	-3.143999863E1	-3.329999924E1
2.902784054E0	6.179999828E0	-3.185999870E1	-3.281999969E1
2.910888400E0	6.839999676E0	-3.173999977E1	-3.252000046E1
2.919009554E0	7.859999657E0	-3.173999977E1	-3.215999985E1
2.927098246E0	7.799999714E0	-3.197999954E1	-3.234000015E1
2.935194246E0	8.399999619E0	-3.173999977E1	-3.209999847E1
2.943286400E0	8.880000114E0	-3.197999954E1	-3.204000092E1
2.951376631E0	9.239999771E0	-3.197999954E1	-3.221999741E1
2.959488592E0	9.599999428E0	-3.204000092E1	-3.150000000E1
2.967577400E0	9.779999733E0	-3.227999878E1	-3.161999893E1
2.975764169E0	9.420000076E0	-3.239999771E1	-3.179999924E1
2.983870169E0	9.059999466E0	-3.257999802E1	-3.179999924E1
2.991958861E0	8.399999619E0	-3.288000107E1	-3.197999954E1
3.000080131E0	8.399999619E0	-3.300000000E1	-3.204000092E1
3.008183015E0	8.939999580E0	-3.275999832E1	-3.227999878E1
3.016265592E0	9.119999886E0	-3.281999969E1	-3.227999878E1
3.024355515E0	9.719999313E0	-3.239999771E1	-3.263999939E1
3.032459323E0	9.779999733E0	-3.245999908E1	-3.221999741E1
3.040591938E0	9.719999313E0	-3.270000076E1	-3.137999916E1
3.048681938E0	9.899999619E0	-3.263999939E1	-3.119999886E1
3.056870053E0	1.019999981E1	-3.300000000E1	-3.084000015E1
3.064961053E0	1.050000000E1	-3.311999893E1	-3.137999916E1
3.073050053E0	1.073999977E1	-3.341999817E1	-3.150000000E1
3.081162284E0	1.109999943E1	-3.341999817E1	-3.179999924E1
3.089252246E0	1.067999935E1	-3.329999924E1	-3.107999992E1
3.097350669E0	1.043999958E1	-3.341999817E1	-3.011999893E1
3.105458476E0	9.899999619E0	-3.293999863E1	-3.005999947E1
3.113549938E0	9.359999657E0	-3.318000031E1	-2.976000023E1
3.121671130E0	8.880000114E0	-3.311999893E1	-2.951999855E1
3.129776092E0	8.340000153E0	-3.293999863E1	-3.017999840E1
3.137963861E0	7.919999599E0	-3.288000107E1	-3.023999977E1
3.146057053E0	8.099999428E0	-3.252000046E1	-3.017999840E1
3.154162361E0	8.159999847E0	-3.300000000E1	-3.084000015E1
3.162286745E0	8.399999619E0	-3.300000000E1	-3.023999977E1
3.170378861E0	8.340000153E0	-3.293999863E1	-3.000000000E1
3.178517861E0	7.799999714E0	-3.305999756E1	-2.957999992E1
3.186610437E0	7.919999599E0	-3.257999802E1	-2.897999954E1
3.194699899E0	7.919999599E0	-3.263999939E1	-2.939999962E1
3.202810322E0	8.399999619E0	-3.275999832E1	-2.945999908E1
3.210899284E0	8.760000229E0	-3.288000107E1	-2.939999962E1
3.219088976E0	9.119999886E0	-3.300000000E1	-2.981999969E1
3.227194437E0	9.479999542E0	-3.275999832E1	-2.934000015E1
