"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"
1.695628422E0	7.379555702E-1	-3.410420895E0	1.206557274E0
1.703541807E0	6.093459129E-1	-2.960742474E0	1.581348419E0
1.711511307E0	6.395218372E-1	-2.150867939E0	1.577192783E0
1.719766922E0	7.279102802E-1	-1.391836643E0	1.235925198E0
1.728540328E0	8.066940308E-1	-9.041304588E-1	5.499854088E-1
1.736009922E0	9.086730480E-1	-5.564761162E-1	-3.490381241E-1
1.744024153E0	9.663352966E-1	-3.742265701E-1	-1.138530374E0
1.751809999E0	8.884594440E-1	-2.750110626E-1	-1.726302147E0
1.760346460E0	9.518034458E-1	-1.508426666E-1	-2.201857805E0
1.768581960E0	5.937190056E-1	-7.636356354E-2	-2.291870832E0
1.776986037E0	2.357525826E-1	-2.598190308E-2	-1.998586655E0
1.784717653E0	9.781074524E-2	2.098178864E-2	-1.539590955E0
1.792621191E0	1.126222610E-1	3.163337708E-3	-1.039251447E0
1.800871730E0	8.666419983E-2	1.718521118E-3	-5.241460800E-1
1.808984960E0	-9.535741806E-2	-4.740238190E-2	-1.622939110E-2
1.817180153E0	-2.381896973E-1	-8.497714996E-2	2.888052464E-1
1.825227576E0	-2.190232277E-1	-8.385753632E-2	3.547613621E-1
1.832935653E0	2.048882484E0	-4.151754379E-1	4.575681686E-1
1.841479999E0	7.656111717E-1	-1.421890259E-1	3.228716850E-1
1.849550114E0	7.208094597E-1	-1.413412094E-1	-2.215170860E-2
1.857804653E0	-8.837258816E-1	-9.605407715E-3	2.007346153E-1
1.865767037E0	-9.981768131E-1	1.736297607E-1	6.676199436E-1
1.873748306E0	-8.276801109E-1	-1.017074585E-1	2.693371773E-1
1.881977383E0	-1.550508738E0	-2.226121426E0	8.628375530E-1
1.890070383E0	-5.589158535E-1	-3.557358742E0	1.332494974E0
1.898267729E0	1.262304783E0	-2.552791595E0	2.367587090E-1
1.906300537E0	2.390404224E0	-3.666005135E-1	-1.132485628E0
1.914073729E0	1.224049568E0	5.965375900E-1	-9.715851545E-1
1.922596960E0	5.374431610E-2	3.239154816E-1	-4.294676781E-1
1.930723922E0	4.723291397E-1	1.754922867E-1	-2.087459564E-1
1.938991345E0	1.136037350E0	6.318664551E-2	-5.138421059E-1
1.946981153E0	9.058604240E-1	-1.441974640E-1	-6.264834404E-1
1.954843153E0	3.173255920E-1	-4.825844765E-1	-6.482300758E-1
1.963134845E0	7.227993011E-2	-5.324912071E-1	-3.627648354E-1
1.971255576E0	1.399578571E0	-4.263114929E-2	-1.440062523E-1
1.979503306E0	1.075748444E0	3.300666809E-2	3.341169357E-1
1.987458383E0	1.391979218E0	1.171360016E-1	7.434668541E-1
1.995220652E0	1.622681618E0	2.027482986E-1	1.011289358E0
2.003844922E0	9.160490036E-1	2.072372437E-1	8.514523506E-1
2.011945460E0	1.292514801E-1	1.481752396E-1	4.402935505E-1
2.020095806E0	8.663415909E-2	5.515861511E-2	2.948894501E-1
2.028122576E0	-2.823452950E-1	-2.418665886E-1	2.967381477E-1
2.035949576E0	-5.648379326E-1	-3.902087212E-1	-3.317124844E-1
2.044291460E0	-3.818635941E-1	-6.667795181E-1	-7.090823650E-1
2.052409768E0	-1.643185616E-1	-8.644733429E-1	-8.127290010E-1
2.060616422E0	1.479625702E-1	-9.073767662E-1	-7.251672745E-1
2.068630922E0	7.774114609E-2	-8.419547081E-1	-4.798588753E-1
2.075135211E0	1.671862602E-1	-6.452112198E-1	-1.788637638E-1
2.076404806E0	1.576094627E-1	-6.236634254E-1	-7.112455368E-2
2.084967883E0	3.176612854E-1	-3.537316322E-1	1.449236870E-1
2.093028268E0	4.822425842E-1	3.988561630E-1	2.310950756E-1
2.101286652E0	1.879134178E-1	6.689720154E-1	3.703255653E-1
2.109231037E0	-1.249423027E-1	5.582227707E-1	3.630523682E-1
2.117114537E0	1.894974709E-1	9.240255356E-1	2.669305801E-1
2.125504499E0	4.548459053E-1	1.211197853E0	1.961424351E-1
2.133571960E0	-9.119606018E-2	1.062783241E0	3.137726784E-1
2.141796075E0	-3.677668571E-1	1.023906708E0	2.011022568E-1
2.149786768E0	-2.580671310E-1	1.147010803E0	6.107521057E-2
2.157551037E0	6.492233276E-2	1.120576859E0	3.459095955E-2
2.166813518E0	4.513392448E-1	8.389000893E-1	6.107783318E-2
2.174174345E0	2.813863754E-2	6.465873718E-1	-2.243623734E-1
2.182427037E0	-2.046074867E-1	2.019920349E-1	-4.848029613E-1
2.190412498E0	-1.700032473E0	-3.044176102E-2	-6.638643742E-1
2.198296114E0	-9.851565361E-1	1.304855347E-1	-1.924192905E-1
2.206648460E0	1.830253601E-1	-3.125667572E-2	1.759247780E-1
2.214757806E0	6.080989838E-1	2.981519699E-1	7.184767723E-2
2.223006652E0	-5.527782440E-1	8.102426529E-1	4.658899307E-1
2.231078114E0	-1.426496506E0	8.020162582E-1	6.794459820E-1
2.238683498E0	-1.195353270E0	6.503868103E-1	8.112075329E-1
2.247216998E0	-1.211218834E-1	-1.397824287E-1	9.392893314E-1
2.255343345E0	5.158529282E-1	-1.210730076E0	8.244571686E-1
2.263522652E0	7.004270554E-1	-1.598327637E0	8.783984184E-1
2.271542998E0	6.488981247E-1	-1.574467659E0	8.094112873E-1
2.279431268E0	8.948326111E-2	-1.476898193E0	2.065241337E-1
2.287782345E0	-1.739253998E-1	-1.133456230E0	-3.208222389E-1
2.295898152E0	-7.425260544E-2	-9.133553505E-1	-8.972791433E-1
2.304086345E0	3.389792442E-1	-8.837780952E-1	-1.242488027E0
2.312075498E0	6.490402222E-1	-3.509111404E-1	-1.568361998E0
2.319850652E0	7.680282593E-1	1.071512222E0	-1.845392227E0
2.328373768E0	-2.172708511E-1	1.976164818E0	-1.829562902E0
2.336465729E0	-8.614401817E-1	2.249094009E0	-1.393709421E0
2.344706691E0	-8.796687126E-1	2.082607269E0	-9.148211479E-1
2.352675037E0	-8.004183769E-1	1.878007889E0	-6.718754768E-1
2.360540268E0	-9.282333851E-1	1.622386932E0	-7.205306292E-1
2.368889114E0	-1.582876921E0	1.068665504E0	-1.087112188E0
2.376987306E0	-1.314080000E0	5.662326813E-1	-1.319625139E0
2.385179960E0	-8.478629589E-1	8.412265778E-2	-1.618410587E0
2.393209921E0	-8.276751041E-1	-1.810932159E-1	-1.096358776E0
2.400967652E0	-8.395178318E-1	-1.854085922E-1	1.092698574E-1
2.409498921E0	-7.847187519E-1	4.627513885E-2	1.681718826E0
2.417615306E0	-7.311029434E-1	2.703800201E-1	2.805825233E0
2.425802883E0	9.431886673E-2	7.090349197E-1	3.275539875E0
2.433821806E0	1.275067329E-1	6.192684174E-1	2.819900990E0
2.441689268E0	4.238700867E-1	3.616132736E-1	1.802848577E0
2.450022768E0	2.041535378E-1	-4.331107140E-1	-1.309287548E-1
2.458181268E0	1.823109627E0	-4.399938583E-1	-1.388893127E-1
2.466349498E0	2.375174046E0	-1.172399521E-1	-8.163633347E-1
2.474324344E0	1.789023876E0	-1.649951935E-2	-1.233261347E0
2.482187460E0	1.364427090E0	-1.949973106E-1	-1.529583693E0
2.490553268E0	6.215338707E-1	-1.514682770E-1	-1.317716360E0
2.498639691E0	3.206806183E-1	-5.131053925E-2	-1.054347634E0
2.506939960E0	4.151244164E-1	-5.067253113E-2	-5.105483532E-1
2.514923806E0	5.148620605E-1	-1.052021980E-1	-5.480551720E-2
2.522779114E0	4.165577888E-1	-2.233953476E-1	1.827139854E-1
2.531081960E0	2.845315933E-1	-4.929037094E-1	4.063589573E-1
2.539207344E0	2.653250694E-1	-7.169466019E-1	5.398817062E-1
2.547354460E0	2.423148155E-1	-9.017782211E-1	6.078629494E-1
2.555381152E0	3.511371613E-1	-1.002264023E0	6.472113132E-1
2.563166883E0	2.855472565E-1	-9.390730858E-1	6.640582085E-1
2.571758498E0	2.399501801E-1	-8.202686310E-1	6.994848251E-1
2.579748998E0	1.203250885E-1	-7.299399376E-1	6.407883167E-1
2.587965191E0	1.879823208E0	-1.319777012E0	-4.176762581E0
2.595933267E0	-3.216485977E-1	-1.435632229E0	2.862837315E-1
2.603922037E0	-7.586565018E-1	-1.102402687E0	2.601937056E0
2.612218883E0	2.100173473E0	-8.853168488E-1	6.798751354E-1
2.620280652E0	1.902973652E0	-1.440073967E0	-3.154201508E-1
2.628580614E0	1.740282059E0	-1.625613689E0	1.193568945E0
2.636536767E0	2.232136250E0	-1.666499138E0	1.626467943E0
2.644274152E0	7.264337540E-1	-9.687438011E-1	2.501062870E0
2.652804421E0	-1.853661537E-1	-2.391152382E-1	2.841533422E0
2.660955921E0	-8.018183708E-1	3.451862335E-1	2.607462645E0
2.669115190E0	-1.617407799E-1	3.470067978E-1	1.869331360E0
2.677101306E0	1.171441555E0	-3.159523010E-1	1.247983694E0
2.685065383E0	1.419663429E0	-7.666187286E-1	9.479072094E-1
2.693326729E0	-5.764818192E-2	-1.153738976E0	-1.135356426E-1
2.701481460E0	-3.235503674E0	-1.844609261E0	-1.343068600E0
2.709630306E0	-8.225862503E0	-7.931089401E-1	6.850748062E-1
2.717610190E0	2.079787254E-1	-1.257040024E0	1.403627157E0
2.725399113E0	2.374509811E0	-1.480865002E0	1.272586346E0
2.733962844E0	4.922175407E-1	-1.722288132E0	8.327324390E-1
2.742019921E0	1.088544369E0	-6.086530685E-1	1.474155903E0
2.750206575E0	4.387982368E0	7.730484009E-3	1.706050158E0
2.758253344E0	1.698519707E0	5.117712021E-1	1.168026447E0
2.766116575E0	2.105689049E0	1.464540482E0	7.966644764E-1
2.774455037E0	2.493824959E-1	9.968190193E-1	3.624434471E-1
2.782565190E0	1.437592506E-1	2.772603035E-1	-6.020975113E-2
2.790771113E0	-3.330211878E0	-1.902956963E0	-1.896789074E-1
2.798782037E0	-1.595163345E-1	-2.472150803E0	-4.276676178E-1
2.806547960E0	-5.688972473E-1	-2.401701450E0	-3.618817329E-1
2.815078806E0	2.762165546E0	-1.118974209E0	-8.621215820E-3
2.823164690E0	1.131349087E0	-7.221426964E-1	4.807927608E-1
2.831409844E0	-3.589053154E0	-8.230757713E-1	1.000971794E-1
2.839354113E0	-6.651320457E-1	8.507471085E-1	5.480480194E-1
2.847148960E0	-3.518619537E-1	1.263885498E0	1.538369894E0
2.855677806E0	2.360768318E-1	1.078843117E0	1.636099577E0
2.863770460E0	2.560810089E0	1.232952595E0	1.272488832E0
2.871963536E0	1.236714649E1	3.413097858E0	7.490377426E-1
2.879999190E0	6.345736027E0	4.652856827E0	1.474956512E0
2.887750844E0	-6.298197269E0	3.047497749E0	2.722804546E-1
2.896281767E0	-3.248489380E0	2.702085018E0	-3.325287104E-1
2.904380998E0	-4.824762344E-1	1.780895233E0	-1.384906769E-1
2.912613229E0	-1.855334997E0	2.703323364E-1	-4.425740242E-2
2.920597036E0	-2.722134352E0	-9.704465866E-1	1.934180260E-1
2.928412421E0	-2.836302042E0	-2.371807575E0	2.216608524E-1
2.936790306E0	-2.610804558E0	-3.303841114E0	3.412733078E-1
2.944882729E0	-1.245677471E0	-2.303618908E0	1.109534740E0
2.953112575E0	-1.787806988E0	-1.608748913E0	9.762966633E-1
2.961085959E0	-1.845020533E0	-1.439330578E0	9.522790909E-1
2.968862844E0	-2.020189524E0	-1.613299847E0	9.268186092E-1
2.977426498E0	-1.992637873E0	-1.700099468E0	8.694589138E-1
2.985473613E0	-2.260094166E0	-1.665177822E0	9.202051163E-1
2.993686459E0	-2.143458128E0	-1.374421120E0	9.517011642E-1
3.001706113E0	-2.516420126E0	-1.048789024E0	9.466922283E-1
3.009493536E0	-2.727126360E0	-7.711019516E-1	6.747202873E-1
3.017951113E0	-2.554763794E0	-4.431104660E-1	5.619268417E-1
3.025995075E0	-1.725379944E0	2.154827118E-2	5.054950714E-1
3.034167344E0	-9.451031685E-1	5.151543617E-1	6.615731716E-1
3.042279075E0	-3.203625679E-1	8.421645164E-1	1.030218601E0
