"Time (s)"	"Magnetic field x (µT)"	"Magnetic field y (µT)"	"Magnetic field z (µT)"
2.022794626E0	-2.603999901E1	-2.735999870E1	-2.784000015E1
2.030882856E0	-2.484000015E1	-2.831999969E1	-2.771999931E1
2.039007626E0	-2.405999947E1	-2.951999855E1	-2.784000015E1
2.047228510E0	-2.321999931E1	-3.005999947E1	-2.807999992E1
2.055336356E0	-2.237999916E1	-3.011999893E1	-2.868000031E1
2.063462049E0	-2.184000015E1	-3.005999947E1	-3.005999947E1
2.071594779E0	-2.207999992E1	-2.976000023E1	-3.095999908E1
2.079734395E0	-2.189999962E1	-2.934000015E1	-3.137999916E1
2.087954972E0	-2.250000000E1	-2.868000031E1	-3.161999893E1
2.096047895E0	-2.345999908E1	-2.801999855E1	-3.119999886E1
2.104190279E0	-2.400000000E1	-2.657999992E1	-3.077999878E1
2.112325202E0	-2.501999855E1	-2.543999863E1	-3.029999924E1
2.120453356E0	-2.627999878E1	-2.453999901E1	-2.951999855E1
2.128691894E0	-2.747999954E1	-2.405999947E1	-2.813999939E1
2.136786356E0	-2.850000000E1	-2.357999992E1	-2.747999954E1
2.144914856E0	-2.909999847E1	-2.351999855E1	-2.669999886E1
2.153004433E0	-2.951999855E1	-2.327999878E1	-2.634000015E1
2.161130779E0	-3.035999870E1	-2.292000008E1	-2.663999939E1
2.169352356E0	-3.017999840E1	-2.321999931E1	-2.609999847E1
2.177460779E0	-3.059999847E1	-2.273999977E1	-2.597999954E1
2.185586548E0	-3.071999931E1	-2.250000000E1	-2.592000008E1
2.193726548E0	-3.035999870E1	-2.207999992E1	-2.526000023E1
2.201868356E0	-3.035999870E1	-2.184000015E1	-2.501999855E1
2.210090240E0	-3.047999954E1	-2.165999985E1	-2.526000023E1
2.218184356E0	-3.017999840E1	-2.160000038E1	-2.568000031E1
2.226324971E0	-3.071999931E1	-2.177999878E1	-2.645999908E1
2.234464433E0	-3.131999969E1	-2.105999947E1	-2.693999863E1
2.242590856E0	-3.161999893E1	-2.105999947E1	-2.681999969E1
2.250828317E0	-3.185999870E1	-2.015999985E1	-2.615999985E1
2.258921240E0	-3.167999840E1	-1.973999977E1	-2.531999969E1
2.267047125E0	-3.185999870E1	-1.973999977E1	-2.507999992E1
2.275133394E0	-3.155999947E1	-1.926000023E1	-2.484000015E1
2.283258125E0	-3.197999954E1	-1.979999924E1	-2.484000015E1
2.291478163E0	-3.173999977E1	-1.961999893E1	-2.526000023E1
2.299587009E0	-3.137999916E1	-1.937999916E1	-2.550000000E1
2.307713548E0	-3.173999977E1	-1.961999893E1	-2.579999924E1
2.315850317E0	-3.137999916E1	-1.950000000E1	-2.555999947E1
2.323993086E0	-3.143999863E1	-1.931999969E1	-2.561999893E1
2.332215971E0	-3.173999977E1	-1.926000023E1	-2.513999939E1
2.340312163E0	-3.150000000E1	-1.884000015E1	-2.513999939E1
2.348453663E0	-3.215999985E1	-1.895999908E1	-2.555999947E1
2.356561586E0	-3.245999908E1	-1.902000046E1	-2.543999863E1
2.364686278E0	-3.257999802E1	-1.931999969E1	-2.561999893E1
2.372924817E0	-3.252000046E1	-1.931999969E1	-2.526000023E1
2.381021047E0	-3.221999741E1	-1.895999908E1	-2.507999992E1
2.389148932E0	-3.227999878E1	-1.937999916E1	-2.453999901E1
2.397247278E0	-3.173999977E1	-1.895999908E1	-2.435999870E1
2.405375470E0	-3.173999977E1	-1.895999908E1	-2.435999870E1
2.413599393E0	-3.161999893E1	-1.884000015E1	-2.405999947E1
2.421709047E0	-3.107999992E1	-1.811999893E1	-2.453999901E1
2.429837124E0	-3.143999863E1	-1.823999977E1	-2.429999924E1
2.437944355E0	-3.161999893E1	-1.829999924E1	-2.393999863E1
2.446084701E0	-3.167999840E1	-1.811999893E1	-2.393999863E1
2.454307316E0	-3.204000092E1	-1.829999924E1	-2.387999916E1
2.462402047E0	-3.197999954E1	-1.794000053E1	-2.477999878E1
2.470541932E0	-3.167999840E1	-1.739999962E1	-2.477999878E1
2.478656893E0	-3.215999985E1	-1.763999939E1	-2.513999939E1
2.486782355E0	-3.221999741E1	-1.763999939E1	-2.501999855E1
2.495017855E0	-3.215999985E1	-1.757999992E1	-2.429999924E1
2.503110855E0	-3.192000008E1	-1.745999908E1	-2.471999931E1
2.511236970E0	-3.150000000E1	-1.703999901E1	-2.423999977E1
2.519342162E0	-3.150000000E1	-1.703999901E1	-2.405999947E1
2.527467470E0	-3.101999855E1	-1.734000015E1	-2.435999870E1
2.535690931E0	-3.059999847E1	-1.721999931E1	-2.465999985E1
2.543799816E0	-3.023999977E1	-1.787999916E1	-2.513999939E1
2.551928662E0	-2.969999886E1	-1.769999886E1	-2.531999969E1
2.560069893E0	-2.939999962E1	-1.769999886E1	-2.568000031E1
2.568212124E0	-2.951999855E1	-1.829999924E1	-2.561999893E1
2.576435739E0	-2.861999893E1	-1.776000023E1	-2.579999924E1
2.584531124E0	-2.795999908E1	-1.757999992E1	-2.592000008E1
2.592674431E0	-2.807999992E1	-1.776000023E1	-2.573999977E1
2.600792008E0	-2.747999954E1	-1.776000023E1	-2.585999870E1
2.608886470E0	-2.771999931E1	-1.842000008E1	-2.568000031E1
2.617125123E0	-2.795999908E1	-1.943999863E1	-2.597999954E1
2.625219431E0	-2.765999985E1	-1.973999977E1	-2.597999954E1
2.633344893E0	-2.777999878E1	-1.985999870E1	-2.573999977E1
2.641443393E0	-2.753999901E1	-1.961999893E1	-2.609999847E1
2.649536816E0	-2.735999870E1	-1.902000046E1	-2.615999985E1
2.657759046E0	-2.729999924E1	-1.865999985E1	-2.634000015E1
