"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
5.006926540E-1	1.556231141E0	-9.121908545E-1	8.707711220E0
5.030207470E-1	1.544260144E0	-9.409212470E-1	8.669404030E0
5.043035770E-1	1.532289028E0	-9.672574997E-1	8.626308441E0
5.070776310E-1	1.532289028E0	-9.959878922E-1	8.583212852E0
5.086631540E-1	1.541865945E0	-1.036689281E0	8.528146744E0
5.111598620E-1	1.553836942E0	-1.072602391E0	8.477868080E0
5.123407690E-1	1.582567334E0	-1.106121182E0	8.437167168E0
5.152167080E-1	1.616086125E0	-1.156399369E0	8.396465302E0
5.168970380E-1	1.647210717E0	-1.213860273E0	8.367734909E0
5.192686310E-1	1.671152830E0	-1.280897856E0	8.358158112E0
5.204550380E-1	1.685518026E0	-1.367089152E0	8.367734909E0
5.233255540E-1	1.692700624E0	-1.453280449E0	8.403648376E0
5.248939230E-1	1.687912226E0	-1.515529633E0	8.458714485E0
5.273936700E-1	1.668758631E0	-1.553836942E0	8.494627953E0
5.285945000E-1	1.644816518E0	-1.572990537E0	8.485051155E0
5.314503620E-1	1.618480325E0	-1.580173135E0	8.437167168E0
5.327734610E-1	1.594538331E0	-1.584961534E0	8.367734909E0
5.355957470E-1	1.572990537E0	-1.604115129E0	8.310274124E0
5.369692690E-1	1.556231141E0	-1.644816518E0	8.276755333E0
5.396877470E-1	1.546654344E0	-1.702277422E0	8.259995461E0
5.412488460E-1	1.525106430E0	-1.817199111E0	8.228871346E0
5.437233240E-1	1.520318031E0	-1.857900500E0	8.212111473E0
5.449776150E-1	1.517923832E0	-1.941697598E0	8.178592682E0
5.477804770E-1	1.522712231E0	-2.011129379E0	8.149862289E0
5.494021920E-1	1.556231141E0	-2.078166962E0	8.097189903E0
5.518477850E-1	1.568202138E0	-2.094926596E0	8.080430984E0
5.530315770E-1	1.572990537E0	-2.118868589E0	8.054094315E0
5.559047080E-1	1.561019540E0	-2.133233786E0	8.049305916E0
5.576870000E-1	1.525106430E0	-2.149993181E0	8.080430984E0
5.599495160E-1	1.508347034E0	-2.154781580E0	8.104372978E0
5.613176540E-1	1.486799240E0	-2.157175779E0	8.166622162E0
5.640056700E-1	1.460463047E0	-2.166752577E0	8.281543732E0
5.656545380E-1	1.434126854E0	-2.173935175E0	8.355764389E0
5.680738620E-1	1.410184860E0	-2.171540976E0	8.427590370E0
5.693502310E-1	1.403002143E0	-2.178723574E0	8.497021675E0
5.721314390E-1	1.417367458E0	-2.200271368E0	8.542511940E0
5.736220380E-1	1.453280449E0	-2.231395960E0	8.559270859E0
5.761741920E-1	1.505952835E0	-2.267308950E0	8.554482460E0
5.775418070E-1	1.565807939E0	-2.312798738E0	8.516175270E0
5.803542080E-1	1.618480325E0	-2.367865562E0	8.468291283E0
5.819776150E-1	1.649604917E0	-2.430114746E0	8.415618896E0
5.844052470E-1	1.668758631E0	-2.489969730E0	8.382100105E0
5.856545770E-1	1.685518026E0	-2.533065319E0	8.401253700E0
5.884616700E-1	1.707065821E0	-2.568978310E0	8.468291283E0
5.900297310E-1	1.731007814E0	-2.602497339E0	8.559270859E0
5.925310160E-1	1.745373011E0	-2.633621931E0	8.635885239E0
5.937642690E-1	1.738190413E0	-2.657563925E0	8.683769226E0
5.965885930E-1	1.714248419E0	-2.679111719E0	8.705317497E0
5.985115380E-1	1.671152830E0	-2.710236311E0	8.702922821E0
6.006430540E-1	1.668758631E0	-2.719813108E0	8.702922821E0
6.018930380E-1	1.683123827E0	-2.743755102E0	8.705317497E0
6.047003620E-1	1.719036818E0	-2.765302896E0	8.710105896E0
6.064437310E-1	1.793257117E0	-2.784456491E0	8.724471092E0
6.087846310E-1	1.817199111E0	-2.791639090E0	8.731653214E0
