"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
4.337336540E-1	2.894589901E0	1.405396342E0	7.177816868E0
4.365958020E-1	2.841917515E0	1.424550056E0	8.058882713E0
4.382464230E-1	2.774879694E0	1.235408068E0	1.010113716E1
4.406568790E-1	2.679111719E0	8.259995580E-1	1.457111168E1
4.418515000E-1	2.391807556E0	4.477157295E-1	1.953189659E1
4.447106480E-1	2.334346771E0	4.070142806E-1	2.173216820E1
4.463037310E-1	2.521094322E0	6.440402865E-1	2.137543297E1
4.487105380E-1	1.975216389E0	8.954314590E-1	2.031001282E1
4.499982690E-1	7.254431248E-1	9.600749016E-1	1.882560730E1
4.528401870E-1	-9.337386489E-2	7.374141216E-1	1.693897629E1
4.542488850E-1	-1.005564705E-1	3.663128614E-1	1.486081028E1
4.567790770E-1	4.812345505E-1	-1.029506698E-1	1.283770943E1
4.580744620E-1	1.383848548E0	-5.985504389E-1	1.124317074E1
4.609494560E-1	2.133233786E0	-1.098938584E0	1.033816338E1
4.624906540E-1	2.252943754E0	-1.623268723E0	1.007001209E1
4.649905330E-1	2.123656988E0	-1.855506301E0	1.029746151E1
4.661615000E-1	1.951274395E0	-1.714248419E0	1.080263805E1
4.690445330E-1	1.757344007E0	-1.352723956E0	1.138682365E1
4.707447690E-1	1.496376038E0	-9.002198577E-1	1.192791271E1
4.731037640E-1	1.182735682E0	-4.165911078E-1	1.233971596E1
4.742966540E-1	8.882488012E-1	4.788403213E-2	1.256716442E1
4.771581870E-1	7.206547260E-1	4.692635238E-1	1.265096188E1
4.787733850E-1	7.230489254E-1	8.523358107E-1	1.266293240E1
4.812183790E-1	8.834604025E-1	1.170764685E0	1.257913589E1
4.824075770E-1	1.175553083E0	1.403002143E0	1.240196514E1
4.852723790E-1	1.539471745E0	1.558625340E0	1.216015053E1
4.867884610E-1	2.111685991E0	1.695094824E0	1.173877048E1
4.893336100E-1	2.288856745E0	1.716642618E0	1.160709000E1
4.905221540E-1	2.602497339E0	1.728613615E0	1.140118885E1
4.933879170E-1	2.853888512E0	1.714248419E0	1.126950741E1
4.946283460E-1	3.045424461E0	1.699883223E0	1.117134476E1
4.975001480E-1	3.296815634E0	1.692700624E0	1.095586681E1
4.987101920E-1	3.430891037E0	1.697489023E0	1.078348446E1
5.015900330E-1	3.509899616E0	1.704671621E0	1.063264942E1
5.031939230E-1	3.543418407E0	1.719036818E0	1.046026707E1
5.056518790E-1	3.519476414E0	1.733402014E0	1.019929886E1
5.068400380E-1	3.454833031E0	1.723825216E0	9.852140427E0
5.097053400E-1	3.406949043E0	1.673547029E0	9.469067574E0
5.113634230E-1	3.344699860E0	1.594538331E0	9.107542992E0
5.137498790E-1	3.241749048E0	1.501164436E0	8.801085472E0
5.149358850E-1	3.157952070E0	1.376665950E0	8.604761124E0
5.178048020E-1	3.102885485E0	1.244984865E0	8.518569946E0
