"Time (s)"	"Magnetic field x (µT)"	"Magnetic field y (µT)"	"Magnetic field z (µT)"
1.589076345E0	1.319999981E1	-4.007999802E1	-9.059999466E0
1.597058538E0	1.361999989E1	-3.989999771E1	-9.420000076E0
1.605221615E0	1.403999996E1	-3.971999741E1	-9.000000000E0
1.613130038E0	1.367999935E1	-3.995999908E1	-9.359999657E0
1.621315807E0	1.205999947E1	-4.079999924E1	-8.699999809E0
1.629341884E0	1.121999931E1	-4.097999954E1	-7.739999771E0
1.637458038E0	1.038000011E1	-4.127999878E1	-7.139999866E0
1.645425538E0	9.179999352E0	-4.205999756E1	-5.579999924E0
1.653551576E0	9.479999542E0	-4.193999863E1	-5.579999924E0
1.661785230E0	8.880000114E0	-4.259999847E1	-5.339999676E0
1.669722153E0	8.340000153E0	-4.355999756E1	-5.219999790E0
1.677905922E0	8.519999504E0	-4.350000000E1	-5.940000057E0
1.685850153E0	8.039999962E0	-4.350000000E1	-5.460000038E0
1.693877884E0	8.220000267E0	-4.355999756E1	-5.699999809E0
1.702182576E0	8.760000229E0	-4.295999908E1	-6.059999943E0
1.710210461E0	9.479999542E0	-4.265999985E1	-6.420000076E0
1.718181845E0	9.960000038E0	-4.265999985E1	-7.019999981E0
1.726228114E0	9.840000153E0	-4.271999741E1	-7.259999752E0
1.734383499E0	9.599999428E0	-4.254000092E1	-7.199999809E0
1.742510307E0	9.539999962E0	-4.241999817E1	-7.079999924E0
1.750482845E0	9.719999313E0	-4.181999969E1	-7.679999828E0
1.758588037E0	9.420000076E0	-4.134000015E1	-7.500000000E0
1.766609076E0	9.179999352E0	-4.139999771E1	-7.739999771E0
1.774757230E0	8.279999733E0	-4.170000076E1	-8.159999847E0
1.782905691E0	7.619999886E0	-4.254000092E1	-7.859999657E0
1.790907191E0	7.079999924E0	-4.254000092E1	-8.039999962E0
1.798972384E0	6.659999847E0	-4.259999847E1	-8.699999809E0
1.806991960E0	5.759999752E0	-4.277999878E1	-9.119999886E0
1.815047922E0	5.400000095E0	-4.241999817E1	-9.359999657E0
1.823329921E0	5.339999676E0	-4.265999985E1	-9.719999313E0
1.831414960E0	4.739999771E0	-4.265999985E1	-9.840000153E0
1.839348307E0	4.139999866E0	-4.277999878E1	-1.007999992E1
1.847339153E0	3.419999838E0	-4.247999954E1	-1.067999935E1
1.855517307E0	2.939999819E0	-4.236000061E1	-1.115999985E1
1.863718614E0	2.639999866E0	-4.200000000E1	-1.175999928E1
1.871768422E0	3.299999952E0	-4.175999832E1	-1.200000000E1
1.879729345E0	3.599999905E0	-4.175999832E1	-1.230000019E1
1.887789922E0	3.899999857E0	-4.181999969E1	-1.217999935E1
1.895799537E0	3.959999800E0	-4.236000061E1	-1.175999928E1
1.904097306E0	3.480000019E0	-4.229999924E1	-1.223999977E1
1.912073768E0	3.119999886E0	-4.200000000E1	-1.193999958E1
1.920146460E0	2.460000038E0	-4.187999725E1	-1.247999954E1
1.928111537E0	2.460000038E0	-4.152000046E1	-1.325999928E1
1.936203037E0	2.700000048E0	-4.104000092E1	-1.289999962E1
1.944414807E0	3.000000000E0	-4.152000046E1	-1.319999981E1
1.952478883E0	3.059999943E0	-4.193999863E1	-1.373999977E1
1.960541845E0	3.480000019E0	-4.170000076E1	-1.379999924E1
1.968607268E0	4.019999981E0	-4.175999832E1	-1.409999943E1
1.976627576E0	3.659999847E0	-4.121999741E1	-1.434000015E1
1.984835345E0	3.659999847E0	-4.079999924E1	-1.427999973E1
1.992824345E0	3.119999886E0	-4.091999817E1	-1.451999950E1
2.000903306E0	2.279999971E0	-4.097999954E1	-1.457999992E1
2.008974960E0	2.099999905E0	-4.145999908E1	-1.439999962E1
2.017095268E0	1.559999943E0	-4.134000015E1	-1.457999992E1
2.025235268E0	1.500000000E0	-4.127999878E1	-1.434000015E1
2.033247576E0	2.039999962E0	-4.091999817E1	-1.500000000E1
2.041278191E0	2.159999847E0	-4.031999969E1	-1.535999966E1
2.049291960E0	2.579999924E0	-4.020000076E1	-1.542000008E1
2.057365537E0	2.339999914E0	-3.995999908E1	-1.529999924E1
2.065561076E0	2.339999914E0	-3.959999847E1	-1.505999947E1
2.073583960E0	2.339999914E0	-3.947999954E1	-1.523999977E1
2.081649383E0	2.099999905E0	-3.954000092E1	-1.517999935E1
2.089627960E0	2.099999905E0	-3.954000092E1	-1.602000046E1
2.097821922E0	1.199999928E0	-3.995999908E1	-1.577999973E1
2.105967999E0	7.199999690E-1	-3.995999908E1	-1.589999962E1
2.114107613E0	2.399999946E-1	-3.971999741E1	-1.583999920E1
2.122163806E0	2.999999821E-1	-4.002000046E1	-1.535999966E1
2.130186383E0	2.999999821E-1	-3.984000015E1	-1.511999989E1
2.138216422E0	-5.999999866E-2	-4.037999725E1	-1.463999939E1
2.146364345E0	1.799999923E-1	-4.061999893E1	-1.427999973E1
2.154420729E0	-2.399999946E-1	-4.055999756E1	-1.331999969E1
2.162480537E0	-4.199999869E-1	-4.061999893E1	-1.307999992E1
2.170438422E0	-3.599999845E-1	-4.055999756E1	-1.259999943E1
2.178588268E0	-3.599999845E-1	-4.020000076E1	-1.200000000E1
2.186757112E0	1.199999973E-1	-4.025999832E1	-1.211999989E1
2.194849576E0	6.599999666E-1	-4.037999725E1	-1.175999928E1
2.202917768E0	1.019999981E0	-4.068000031E1	-1.151999950E1
2.210849883E0	1.259999990E0	-4.073999786E1	-1.127999973E1
2.218948922E0	1.319999933E0	-4.068000031E1	-1.092000008E1
2.227134381E0	1.019999981E0	-4.109999847E1	-1.038000011E1
2.235231766E0	1.019999981E0	-4.091999817E1	-1.013999939E1
2.243315383E0	8.399999738E-1	-4.109999847E1	-1.001999950E1
2.251267306E0	2.999999821E-1	-4.121999741E1	-1.043999958E1
2.259413074E0	1.799999923E-1	-4.091999817E1	-1.121999931E1
2.267503574E0	1.199999973E-1	-4.061999893E1	-1.200000000E1
2.275618381E0	-3.599999845E-1	-4.043999863E1	-1.296000004E1
2.283524922E0	-5.999999866E-2	-4.043999863E1	-1.373999977E1
2.291530960E0	1.199999973E-1	-4.020000076E1	-1.481999969E1
2.299758537E0	1.199999973E-1	-4.020000076E1	-1.577999973E1
2.307856229E0	3.599999845E-1	-4.031999969E1	-1.650000000E1
2.315889806E0	0.000000000E0	-4.020000076E1	-1.697999954E1
2.323952345E0	-5.999999642E-1	-4.020000076E1	-1.710000038E1
2.331987652E0	-8.999999762E-1	-4.050000000E1	-1.697999954E1
2.340057614E0	-1.139999986E0	-4.043999863E1	-1.752000046E1
2.348304381E0	-1.379999995E0	-4.020000076E1	-1.794000053E1
2.356390191E0	-7.199999690E-1	-4.013999939E1	-1.800000000E1
