"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.077969833E0,-1.414708099E0,-3.629652100E0,6.424639893E-1
3.087928833E0,-1.793869629E0,-4.373754730E0,5.143304443E-1
3.097887833E0,-1.941612396E0,-5.066514130E0,1.790277100E-1
3.107846833E0,-2.036814423E0,-5.589227142E0,6.676116943E-2
3.117805833E0,-2.000440063E0,-5.812562714E0,3.984713745E-1
3.127764833E0,-1.775906982E0,-5.786367188E0,8.409512329E-1
3.137723833E0,-1.397793274E0,-5.488636322E0,9.503736877E-1
3.147682833E0,-6.084846497E-1,-4.524191895E0,7.502398682E-1
3.157641833E0,5.207670593E-1,-2.893033905E0,5.532495117E-1
3.167599833E0,1.691033478E0,-1.424138489E0,-3.293151855E-3
3.177558833E0,2.323318634E0,-5.504054260E-1,-5.577401733E-1
3.187517833E0,2.486778717E0,1.017883301E-2,-1.112037506E0
3.197476833E0,2.373614044E0,4.448748779E-1,-1.660646667E0
3.207435833E0,2.231409760E0,7.544311523E-1,-1.919009399E0
3.217394833E0,2.244432678E0,1.163829803E0,-1.642234955E0
3.227353833E0,2.413730621E0,2.067051544E0,-8.851094055E-1
3.237312833E0,2.907404022E0,3.574117584E0,1.171763306E0
3.247271833E0,3.080893250E0,3.712879028E0,2.182461548E0
3.257230833E0,2.425556030E0,4.584217072E0,4.714895325E0
3.267189833E0,1.161135406E0,8.590186615E0,1.211281128E1
3.277148833E0,5.388793945E-2,9.359287262E0,1.877695312E0
3.287107833E0,-2.301314392E0,1.142095001E1,-9.108858032E0
3.297066833E0,-5.717959442E0,2.283202057E1,-1.584874237E1
3.307025833E0,-1.204500229E1,4.583528503E1,-9.501641235E0
3.316984833E0,-2.480297195E1,7.271818176E1,5.325774994E0
3.326942833E0,-3.946243744E1,8.605859024E1,9.401948547E-1
3.336901833E0,-3.258319290E1,6.487838470E1,1.905836792E0
3.346860833E0,-1.739772125E1,3.356589935E1,7.821984100E0
3.356819833E0,-9.572593689E0,1.990680359E1,4.041445770E0
3.366778833E0,-2.875220947E0,1.685973999E1,3.702700195E0
3.376737833E0,-9.358538818E-1,1.524968811E1,2.889740753E0
3.386696833E0,-8.981323242E-1,1.369397324E1,4.575984192E-1
3.396655833E0,-3.296145630E-1,1.192285629E1,-1.172062683E0
3.406614833E0,1.185983734E0,9.421707458E0,-1.638193359E0
3.416573833E0,2.916535034E0,6.159391479E0,-1.166224823E0
3.426532833E0,4.516557770E0,2.952460327E0,-6.438111877E-1
3.436491833E0,5.542374573E0,8.556207275E-1,-1.072519684E0
3.446450833E0,4.582420807E0,1.052311707E-1,-2.476150818E0
3.456409833E0,2.904260559E0,-6.557862854E-1,-2.902464294E0
3.466368833E0,2.280208282E0,-1.720522156E0,-1.798959045E0
3.476327833E0,1.730251923E0,-2.858605499E0,5.147795105E-1
3.486285833E0,7.394622803E-1,-3.646566925E0,1.584604797E0
3.496244833E0,-2.154020691E-1,-4.249812469E0,1.578766937E0
3.506203833E0,-1.050216064E0,-5.090164948E0,1.717378693E0
3.516162833E0,-1.797162781E0,-5.765410767E0,1.818867645E0
3.526121833E0,-2.322570190E0,-6.045628052E0,1.871258698E0
3.536080833E0,-2.653831329E0,-6.068979492E0,1.925296326E0
3.546039833E0,-2.769840088E0,-5.867348785E0,1.697769470E0
3.555998833E0,-1.978136444E0,-4.719984741E0,7.714956665E-1
3.565957833E0,-7.435038757E-1,-3.337010651E0,-6.929090881E-1
3.575916500E0,-1.175056458E-1,-2.572849731E0,-2.326462097E0
3.585875500E0,-1.676513672E-2,-2.161355438E0,-3.337459717E0
3.595834500E0,-1.781295776E-2,-1.843416595E0,-3.127596130E0
3.605793500E0,-2.170486450E-2,-1.584904175E0,-2.174528046E0
3.615752500E0,-1.002914429E-2,-1.485361176E0,-1.321452026E0
3.625711500E0,-6.855743408E-2,-1.410816193E0,-1.111289062E0
3.635669500E0,-2.185455322E-1,-1.391356659E0,-6.002517700E-1
3.645628500E0,-9.864486694E-1,-1.373094635E0,-7.920030212E-1
3.655587500E0,-2.274520111E0,-1.098715210E0,-1.467997284E0
3.665546500E0,-2.938239899E0,-3.321592712E-1,-6.288423157E-1
3.675505500E0,-2.509082336E0,1.396895142E0,-5.287005615E-1
3.685464500E0,-3.962260437E0,6.140530701E0,1.150642227E1
3.695423500E0,-7.589068451E0,1.697664688E1,2.158331726E1
3.705382500E0,-2.438429260E-1,1.781625092E1,-1.413570465E1
3.715341500E0,2.054926758E0,2.052307205E1,-2.200723572E1
3.725300500E0,-3.708238678E0,3.812436996E1,-3.998784485E0
3.735259500E0,-9.838590546E0,7.064289734E1,1.189052353E1
3.745218500E0,-8.594976654E0,9.370738449E1,6.026767273E0
3.755177500E0,-1.198856964E0,7.831938400E1,1.175206146E0
3.765135500E0,2.555785217E0,4.060082016E1,5.530399475E0
3.775094500E0,8.173004150E-1,2.739393402E1,2.737507324E0
3.785053500E0,-2.167792053E0,1.996458344E1,8.981323242E-1
3.795012500E0,-2.939886475E0,1.506572067E1,4.170327759E-1
3.804971500E0,-1.706451416E0,1.246128662E1,-1.088087311E0
3.814930500E0,-2.100581818E0,9.524393921E0,-2.583028564E0
3.824889500E0,-3.227737885E0,6.592740326E0,-3.209625549E0
3.834848500E0,-3.892206116E0,3.931125183E0,-2.986439667E0
3.844807500E0,-3.912414093E0,1.511556702E0,-2.072440338E0
3.854766500E0,-3.368295593E0,-2.191442871E-1,-1.350192261E0
3.864725500E0,-2.509980469E0,-1.330283661E0,-1.378782806E0
3.874684500E0,-1.841919708E0,-2.464774475E0,-1.472787323E0
3.884643500E0,-1.450932770E0,-3.534599762E0,-1.015787659E0
3.894601500E0,-1.438209229E0,-4.078718262E0,-2.366578674E-1
3.904560500E0,-1.328637085E0,-4.098926239E0,8.872050476E-1
3.914519500E0,-1.233135681E0,-4.487218781E0,2.152224426E0
