"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.439354458E0,7.939858735E-2,2.582484484E0,-1.345348597E0
2.449313458E0,-9.124832749E-1,1.766830444E0,-1.516063094E0
2.459272458E0,-2.052405357E0,1.647505760E0,-1.413226366E0
2.469231458E0,-3.403174579E-1,4.062197208E0,-6.613517404E-1
2.479190458E0,2.209048986E0,3.707712412E0,-2.921883762E-1
2.489149458E0,3.053967714E0,1.278161407E0,9.746201038E-1
2.499107458E0,2.040801048E0,-2.220420986E-1,1.727728844E0
2.509066458E0,4.917182624E-1,-1.527041078E0,1.747235775E0
2.519025458E0,-2.265033871E-1,-2.488337755E0,1.567512512E0
2.528984458E0,-1.895144731E-1,-2.922379017E0,1.330443263E0
2.538943458E0,1.073205993E-1,-2.804217815E0,1.139021635E0
2.548902458E0,3.007635772E-1,-1.904978395E0,1.013603091E0
2.558861458E0,3.304911256E-1,-4.138380587E-1,9.494984746E-1
2.568820458E0,3.613297343E-1,8.742544055E-1,1.056912065E0
2.578779833E0,4.123031199E-1,1.271239400E0,1.213854432E0
2.588738833E0,3.294383287E-1,8.957465887E-1,1.186519027E0
2.598697833E0,-2.935394645E-3,2.321231514E-1,1.052794576E0
2.608656833E0,-6.395552754E-1,-3.459425867E-1,8.983839750E-1
2.618615833E0,-1.433942556E0,-4.019143879E-1,7.035165429E-1
2.628573833E0,-2.079752922E0,2.806361914E-1,4.711596668E-1
2.638532833E0,-2.312214136E0,1.134951472E0,3.816457391E-1
2.648491833E0,-2.129353523E0,1.477394342E0,4.298015535E-1
2.658450833E0,-1.743091106E0,1.180012584E0,4.816534817E-1
2.668409833E0,-1.460983038E0,4.384069443E-1,5.115256310E-1
2.678368833E0,-1.459672332E0,-2.438152283E-1,4.946752787E-1
2.688327833E0,-1.648746967E0,-4.905048907E-1,4.574144483E-1
2.698286833E0,-1.769979835E0,-6.634364128E-1,4.005174339E-1
2.708245833E0,-1.635740042E0,-1.017713904E0,3.282608092E-1
2.718204833E0,-1.276657104E0,-1.521216869E0,1.926901639E-1
2.728163833E0,-8.259178996E-1,-1.884497643E0,1.264448930E-2
2.738122833E0,-3.884953856E-1,-1.991014004E0,-1.430227757E-1
2.748081833E0,-1.808775775E-2,-1.897002578E0,-2.945774198E-1
2.758040833E0,2.221129239E-1,-1.592541337E0,-4.263497889E-1
2.767999833E0,4.009572566E-1,-1.056529522E0,-5.264715552E-1
2.777957833E0,5.879927874E-1,-5.524097681E-1,-6.462711096E-1
2.787916833E0,8.727393150E-1,-2.794528306E-1,-7.674185634E-1
2.797875833E0,1.125511527E0,-5.081686974E-1,-8.598374128E-1
2.807834833E0,1.297022343E0,-9.308627248E-1,-9.916228652E-1
2.817793833E0,1.446639180E0,-1.083872437E0,-1.250830889E0
2.827752833E0,1.507556915E0,-1.163463444E-1,-1.587133527E0
2.837711833E0,1.631990314E0,1.190613627E0,-1.987437606E0
2.847670833E0,1.054111242E0,2.433698177E-1,-2.183947802E0
2.857629833E0,-1.113190055E-1,-1.368674040E0,-2.291328192E0
2.867588833E0,1.060431451E-1,-1.914453506E0,-2.071937561E0
2.877547833E0,1.868745208E0,-2.028171122E-1,-1.162615776E0
2.887506833E0,1.936349034E0,1.845915198E0,-2.383794785E-1
2.897465833E0,5.182532668E-1,7.176514268E-1,9.575979114E-1
2.907424833E0,-5.655419827E-1,4.076093733E-1,1.418850303E0
