"Time (s)","X (hPa)"
4.088552347E2,1.009999542E3
4.099297767E2,1.010000076E3
4.110043337E2,1.009999542E3
4.120789027E2,1.010000687E3
4.131534017E2,1.009999390E3
4.142278857E2,1.009999390E3
4.153024177E2,1.009999390E3
4.163769667E2,1.010000076E3
4.174515007E2,1.010000687E3
4.185260277E2,1.010000839E3
4.196005617E2,1.010003662E3
4.206750687E2,1.010004044E3
4.217496007E2,1.010004044E3
4.228241667E2,1.010002975E3
4.238988027E2,1.010001678E3
4.249733837E2,1.009998169E3
4.260479297E2,1.009996262E3
4.271224927E2,1.009995575E3
4.281970847E2,1.009994507E3
4.292716507E2,1.009993286E3
4.303462157E2,1.009993286E3
4.314207697E2,1.009993286E3
4.324953217E2,1.009989090E3
4.335698597E2,1.009983597E3
4.346443977E2,1.009980621E3
4.357189337E2,1.009976807E3
4.367934767E2,1.009975204E3
4.378680297E2,1.009975204E3
4.389426287E2,1.009982147E3
4.400171957E2,1.009987411E3
4.410917567E2,1.009995193E3
4.421663257E2,1.010002136E3
4.432408827E2,1.010006714E3
4.443154177E2,1.010009766E3
4.453899567E2,1.010011978E3
4.464645217E2,1.010013123E3
4.475390977E2,1.010013351E3
4.486137067E2,1.010016479E3
4.496883287E2,1.010018158E3
4.507628937E2,1.010020599E3
4.518374637E2,1.010023575E3
4.529120047E2,1.010023575E3
4.539865637E2,1.010023346E3
4.550611347E2,1.010017548E3
4.561356967E2,1.010010605E3
4.572102487E2,1.010005951E3
4.582848387E2,1.010002365E3
4.593593907E2,1.010002365E3
4.604340027E2,1.010003433E3
4.615085957E2,1.010003815E3
4.625831987E2,1.010003815E3
4.636577807E2,1.009999847E3
4.647323517E2,1.009995575E3
4.658069377E2,1.009995575E3
4.668815277E2,1.009995804E3
4.679561067E2,1.009996643E3
4.690306637E2,1.009999008E3
4.701052607E2,1.009999008E3
4.711798297E2,1.009999847E3
4.722544067E2,1.010001068E3
4.733289787E2,1.010001450E3
4.744035697E2,1.010002518E3
4.754781087E2,1.010002518E3
4.765526977E2,1.010001984E3
4.776272917E2,1.009999619E3
4.787018987E2,1.009996719E3
4.797765417E2,1.009996719E3
4.808511407E2,1.009997101E3
4.819257627E2,1.009997101E3
4.830004107E2,1.009997253E3
4.840750457E2,1.009999237E3
4.851496977E2,1.010000076E3
4.862243217E2,1.010001068E3
4.872989587E2,1.010001450E3
4.883736007E2,1.010003662E3
4.894482517E2,1.010005875E3
4.905229057E2,1.010007401E3
4.915976057E2,1.010007782E3
4.926722767E2,1.010007782E3
4.937469437E2,1.010007782E3
