"Time (s)"	"Magnetic field x (µT)"	"Magnetic field y (µT)"	"Magnetic field z (µT)"
2.037536298E0	3.419999838E0	-2.585999870E1	-3.804000092E1
2.045720221E0	3.240000010E0	-2.592000008E1	-3.786000061E1
2.053841259E0	3.659999847E0	-2.555999947E1	-3.804000092E1
2.061945298E0	4.139999866E0	-2.573999977E1	-3.809999847E1
2.070066336E0	4.380000114E0	-2.531999969E1	-3.786000061E1
2.078182413E0	4.679999828E0	-2.579999924E1	-3.738000107E1
2.086286874E0	4.500000000E0	-2.634000015E1	-3.671999741E1
2.094408221E0	4.139999866E0	-2.597999954E1	-3.636000061E1
2.102495451E0	4.619999886E0	-2.592000008E1	-3.636000061E1
2.110630605E0	4.440000057E0	-2.579999924E1	-3.636000061E1
2.118736874E0	4.380000114E0	-2.543999863E1	-3.623999786E1
2.126922105E0	5.099999905E0	-2.550000000E1	-3.623999786E1
2.135057605E0	4.679999828E0	-2.597999954E1	-3.629999924E1
2.143146836E0	4.559999943E0	-2.609999847E1	-3.671999741E1
2.151268490E0	4.859999657E0	-2.609999847E1	-3.707999802E1
2.159390067E0	5.039999962E0	-2.651999855E1	-3.659999847E1
2.167494874E0	5.519999981E0	-2.657999992E1	-3.677999878E1
2.175616259E0	6.179999828E0	-2.651999855E1	-3.588000107E1
2.183754066E0	6.539999962E0	-2.663999939E1	-3.552000046E1
2.191873682E0	6.839999676E0	-2.687999916E1	-3.581999969E1
2.199991836E0	7.199999809E0	-2.705999947E1	-3.509999847E1
2.208177720E0	7.379999638E0	-2.693999863E1	-3.588000107E1
2.216296682E0	7.679999828E0	-2.693999863E1	-3.581999969E1
2.224385797E0	7.919999599E0	-2.663999939E1	-3.486000061E1
2.232521143E0	8.220000267E0	-2.651999855E1	-3.486000061E1
2.240627797E0	8.579999924E0	-2.651999855E1	-3.461999893E1
2.248732335E0	8.399999619E0	-2.681999969E1	-3.491999817E1
2.256868182E0	7.980000019E0	-2.681999969E1	-3.575999832E1
2.264956605E0	6.960000038E0	-2.753999901E1	-3.611999893E1
2.273076835E0	6.779999733E0	-2.742000008E1	-3.581999969E1
2.281198605E0	5.879999638E0	-2.765999985E1	-3.557999802E1
2.289410143E0	5.039999962E0	-2.795999908E1	-3.563999939E1
2.297529681E0	4.380000114E0	-2.747999954E1	-3.545999908E1
2.305632566E0	3.119999886E0	-2.753999901E1	-3.563999939E1
2.313751181E0	2.279999971E0	-2.747999954E1	-3.563999939E1
2.321866181E0	1.620000005E0	-2.742000008E1	-3.534000015E1
2.329948412E0	1.139999986E0	-2.729999924E1	-3.521999741E1
2.338067374E0	8.999999762E-1	-2.777999878E1	-3.491999817E1
2.346154758E0	6.599999666E-1	-2.777999878E1	-3.497999954E1
2.354291527E0	1.199999928E0	-2.777999878E1	-3.468000031E1
2.362397950E0	1.439999938E0	-2.819999886E1	-3.425999832E1
2.370608489E0	1.740000010E0	-2.861999893E1	-3.431999969E1
2.378741758E0	2.279999971E0	-2.879999924E1	-3.438000107E1
2.386831450E0	2.939999819E0	-2.892000008E1	-3.455999756E1
2.394951219E0	3.599999905E0	-2.903999901E1	-3.468000031E1
2.403071566E0	4.559999943E0	-2.873999977E1	-3.431999969E1
2.411186412E0	5.219999790E0	-2.861999893E1	-3.371999741E1
2.419306681E0	4.980000019E0	-2.892000008E1	-3.359999847E1
2.427409719E0	5.400000095E0	-2.892000008E1	-3.389999771E1
2.435530258E0	5.279999733E0	-2.873999977E1	-3.384000015E1
2.443652681E0	5.279999733E0	-2.897999954E1	-3.420000076E1
2.451842258E0	4.679999828E0	-2.903999901E1	-3.425999832E1
2.459961604E0	4.380000114E0	-2.927999878E1	-3.365999985E1
2.468050181E0	3.839999914E0	-2.976000023E1	-3.384000015E1
2.476184758E0	3.959999800E0	-2.976000023E1	-3.347999954E1
2.484291411E0	4.679999828E0	-2.951999855E1	-3.341999817E1
2.492528681E0	4.980000019E0	-2.945999908E1	-3.371999741E1
2.500661758E0	5.219999790E0	-2.921999931E1	-3.384000015E1
