"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
7.546623730E-1	7.570465565E0	1.580173135E0	5.841852188E0
7.566906420E-1	7.606379032E0	1.556231141E0	5.468356609E0
7.587009110E-1	7.630321026E0	1.522712231E0	5.039794445E0
7.599155000E-1	7.618350029E0	1.486799240E0	4.587290287E0
7.627574500E-1	7.546523571E0	1.484405041E0	4.230554581E0
7.646848460E-1	7.443572998E0	1.503558636E0	4.012681961E0
7.667209230E-1	7.364564419E0	1.546654344E0	3.907337189E0
7.680373080E-1	7.321468830E0	1.616086125E0	3.885789394E0
7.707916540E-1	7.328651428E0	1.707065821E0	3.928884983E0
7.727161540E-1	7.352593422E0	1.795651317E0	3.957615376E0
7.748871810E-1	7.350199223E0	1.879448295E0	3.931279182E0
7.762556150E-1	7.314286232E0	1.968033791E0	3.837905407E0
7.788790650E-1	7.232883453E0	2.068590164E0	3.744531393E0
7.806715000E-1	7.096413612E0	2.171540976E0	3.703830004E0
7.828739110E-1	6.921637058E0	2.267308950E0	3.718195200E0
7.841810000E-1	6.766014099E0	2.341529369E0	3.701435804E0
7.869291810E-1	6.670246124E0	2.384624958E0	3.639186621E0
7.888502310E-1	6.629544735E0	2.408566952E0	3.622427225E0
7.909740270E-1	6.629544735E0	2.420537949E0	3.663128614E0
7.923160000E-1	6.679822922E0	2.406172752E0	3.687070608E0
7.950292960E-1	6.828263283E0	2.351106167E0	3.643975019E0
7.969867690E-1	7.048529625E0	2.257732153E0	3.569754839E0
7.990674880E-1	7.292738438E0	2.140416384E0	3.536235809E0
8.002874610E-1	7.503427982E0	2.013523579E0	3.581725836E0
8.031226040E-1	7.656657219E0	1.867477298E0	3.701435804E0
8.049728080E-1	7.754819393E0	1.709460020E0	3.840299606E0
8.069840000E-1	7.821856976E0	1.539471745E0	3.950432777E0
8.083789610E-1	7.855375767E0	1.364694953E0	4.019864559E0
8.110458080E-1	7.876923561E0	1.197100878E0	4.036623955E0
8.132348730E-1	7.896077156E0	1.043871999E0	4.017470360E0
8.152507190E-1	7.929595947E0	9.217676520E-1	3.988739967E0
8.166688840E-1	7.987056732E0	8.188169599E-1	3.960009575E0
8.192528340E-1	8.068459511E0	7.350199223E-1	3.926490784E0
8.212060380E-1	8.169015884E0	6.727706790E-1	3.897760391E0
8.232470650E-1	8.271966934E0	6.392518282E-1	3.878606796E0
