"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
5.866638540E-1	-3.136404157E-1	1.817199111E0	9.959878922E0
5.882903070E-1	-3.351882398E-1	1.850717902E0	9.883264542E0
5.906988150E-1	-3.423708379E-1	1.862688899E0	9.854534149E0
5.919014610E-1	-3.639186621E-1	1.891419291E0	9.797073364E0
5.947559690E-1	-3.950432837E-1	1.924938202E0	9.744400978E0
5.963587690E-1	-4.644751251E-1	1.987187386E0	9.682151794E0
5.987877770E-1	-4.979939461E-1	2.013523579E0	9.665391922E0
5.999981530E-1	-5.674257874E-1	2.068590164E0	9.629479408E0
6.028457000E-1	-6.344634295E-1	2.135627985E0	9.586383820E0
6.045337690E-1	-7.493851185E-1	2.248155355E0	9.519346237E0
6.069281230E-1	-8.451532125E-1	2.322375536E0	9.490615845E0
6.081466920E-1	-9.385270476E-1	2.384624958E0	9.461885452E0
6.109858920E-1	-1.039083481E0	2.437297344E0	9.445125580E0
6.123544220E-1	-1.134851575E0	2.494758129E0	9.442731857E0
6.149934220E-1	-1.228225470E0	2.554613113E0	9.442731857E0
6.163760380E-1	-1.323993564E0	2.595314741E0	9.430760384E0
6.192043540E-1	-1.474828243E0	2.640804529E0	9.416395187E0
6.208986920E-1	-1.697489023E0	2.700659513E0	9.392453194E0
6.232383920E-1	-1.989581585E0	2.786850691E0	9.349357605E0
6.244374220E-1	-2.284068346E0	2.885013103E0	9.277531624E0
6.272963150E-1	-2.540247917E0	2.980781078E0	9.186552048E0
6.290691530E-1	-2.755726099E0	3.059789658E0	9.160215378E0
6.313469690E-1	-2.918531895E0	3.100491285E0	9.215282440E0
6.325581530E-1	-3.026270866E0	3.098097086E0	9.284713745E0
6.354050850E-1	-3.086126089E0	3.047818661E0	9.339780807E0
6.370594990E-1	-3.090914488E0	2.964021683E0	9.361329079E0
6.394351610E-1	-3.052607059E0	2.849100113E0	9.363722801E0
6.408960760E-1	-2.990357876E0	2.715024710E0	9.342175484E0
6.434932770E-1	-2.904166698E0	2.578555346E0	9.277531624E0
6.452851530E-1	-2.683900118E0	2.358288765E0	9.064447403E0
6.475608540E-1	-2.600103140E0	2.272097349E0	8.956708908E0
6.491085380E-1	-2.473210335E0	2.070984364E0	8.695740700E0
6.516190460E-1	-2.358288765E0	1.795651317E0	8.389283180E0
6.538004220E-1	-2.070984364E0	1.247379065E0	7.915230751E0
6.556714310E-1	-1.960851192E0	1.043871999E0	7.773972988E0
6.570556150E-1	-1.695094824E0	6.200982332E-1	7.520187378E0
6.597290460E-1	-1.276109457E0	2.059013397E-1	7.287950039E0
6.613926530E-1	-3.782838583E-1	-2.226607651E-1	7.132327080E0
6.637636610E-1	-1.268926859E-1	-2.753331959E-1	7.211335659E0
6.649689610E-1	1.221042871E-1	-1.963245422E-1	7.611167431E0
6.678216230E-1	2.873042040E-2	7.422025502E-2	8.161833763E0
6.695659990E-1	-2.561795712E-1	6.057330370E-1	8.688557625E0
6.718582770E-1	-2.705447972E-1	7.589619160E-1	8.695740700E0
6.730562690E-1	-1.532289088E-1	9.983820915E-1	8.544905663E0
6.759162000E-1	2.274491638E-1	1.165976286E0	8.271966934E0
6.775279990E-1	5.554547906E-1	1.149216771E0	8.137891769E0
6.799576610E-1	8.714894056E-1	1.065419793E0	8.044517517E0
6.812605380E-1	1.108515382E0	9.504981041E-1	7.987056732E0
6.840153920E-1	1.221042871E0	8.355764151E-1	7.967903137E0
6.857208450E-1	1.163581967E0	7.398083210E-1	7.975085735E0
6.880566230E-1	9.528923035E-1	6.727706790E-1	7.977479935E0
6.893423840E-1	6.512228847E-1	6.488286853E-1	8.006210327E0
6.921149690E-1	3.327940404E-1	6.655880809E-1	8.063671112E0
6.935978840E-1	7.900865376E-2	7.015010715E-1	8.133103371E0
6.960083450E-1	-1.053448766E-1	7.445967197E-1	8.216899872E0
6.976230760E-1	-2.442085743E-1	8.044517636E-1	8.348581314E0
7.003343150E-1	-3.495534360E-1	8.523358107E-1	8.494627953E0
7.019489610E-1	-5.027823448E-1	8.690952063E-1	8.655038834E0
7.043846230E-1	-7.733271718E-1	8.259995580E-1	8.834604263E0
7.056941530E-1	-9.361328483E-1	8.140285611E-1	8.968679428E0
7.084428150E-1	-1.098938584E0	8.690952063E-1	9.133879662E0
7.102738070E-1	-1.448492050E0	9.528923035E-1	9.409213066E0
7.124795460E-1	-1.580173135E0	1.003170490E0	9.598354340E0
7.136509990E-1	-1.441309452E0	1.063025594E0	9.622296333E0
7.165380070E-1	-1.331176162E0	1.134851575E0	9.572018623E0
7.181722300E-1	-1.379060149E0	1.235408068E0	9.504981041E0
7.205742380E-1	-1.386242747E0	1.264138460E0	9.497797966E0
7.217636530E-1	-1.321599364E0	1.314416766E0	9.478644371E0
7.246318920E-1	-1.146822572E0	1.352723956E0	9.418789864E0
7.263910380E-1	-8.690952063E-1	1.395819545E0	9.299078941E0
7.287142380E-1	-7.829039693E-1	1.405396342E0	9.248801231E0
7.300324990E-1	-6.560112834E-1	1.426944256E0	9.141061783E0
7.327723150E-1	-5.841852427E-1	1.443703651E0	9.038111687E0
7.341393070E-1	-5.817909837E-1	1.448492050E0	8.944737434E0
7.368559220E-1	-6.440402865E-1	1.407790542E0	8.860940933E0
7.381995760E-1	-7.134721279E-1	1.391031146E0	8.829815865E0
7.409910070E-1	-7.829039693E-1	1.388636947E0	8.789113998E0
7.425787690E-1	-9.002198577E-1	1.410184860E0	8.724471092E0
7.450264690E-1	-1.012747288E0	1.410184860E0	8.664615631E0
7.462144990E-1	-1.101332784E0	1.403002143E0	8.667010307E0
7.490848150E-1	-1.204283476E0	1.407790542E0	8.655038834E0
7.506814220E-1	-1.362300754E0	1.426944256E0	8.635885239E0
7.531365840E-1	-1.537077546E0	1.448492050E0	8.638279915E0
7.543666530E-1	-1.704671621E0	1.450886250E0	8.695740700E0
7.571950460E-1	-1.843535304E0	1.438915253E0	8.810662270E0
7.589011920E-1	-1.927332401E0	1.431732655E0	8.956708908E0
7.612240070E-1	-1.972822189E0	1.424550056E0	9.121908188E0
7.624490380E-1	-1.982398987E0	1.426944256E0	9.291896820E0
