"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
5.227171620E-1	7.268796444E0	2.181117773E0	5.027823448E0
5.239536540E-1	7.350199223E0	2.128445387E0	4.905719280E0
5.267731230E-1	7.292738438E0	2.078166962E0	4.723760128E0
5.285050380E-1	7.216124058E0	1.984793186E0	4.424484730E0
5.308068460E-1	7.244854450E0	1.915361404E0	4.304774761E0
5.321961920E-1	7.319074631E0	1.848323703E0	4.237737179E0
5.348890080E-1	7.357381821E0	1.800439715E0	4.199429989E0
5.365571150E-1	7.374141216E0	1.788468719E0	4.180276394E0
5.389457390E-1	7.398083210E0	1.790862918E0	4.192247391E0
5.401947310E-1	7.405265808E0	1.802833915E0	4.194641590E0
5.430014310E-1	7.426813602E0	1.824381709E0	4.232948780E0
5.446565000E-1	7.414842606E0	1.845929503E0	4.343081951E0
5.470619690E-1	7.343016624E0	1.903390408E0	4.469974518E0
5.483072310E-1	7.319074631E0	1.965639591E0	4.596867085E0
5.511174690E-1	7.390900612E0	1.996764183E0	4.709394932E0
5.527751540E-1	7.536946774E0	2.008735180E0	4.776432514E0
5.551461620E-1	7.783549786E0	2.008735180E0	4.824316502E0
5.563966920E-1	8.121131897E0	1.946485996E0	4.872200489E0
5.592015850E-1	8.420407295E0	1.817199111E0	4.963180065E0
5.607981150E-1	8.549694061E0	1.656787634E0	5.092466831E0
5.632460080E-1	8.480262756E0	1.517923832E0	5.140350819E0
5.645986150E-1	8.331821442E0	1.407790542E0	5.070919037E0
5.673015850E-1	8.224082947E0	1.295263171E0	4.996698856E0
5.689644610E-1	8.133103371E0	1.192312479E0	4.946420670E0
5.713106540E-1	8.042123795E0	1.098938584E0	4.939238071E0
5.726430000E-1	7.987056732E0	9.888052940E-1	4.915296078E0
5.754199310E-1	7.927201748E0	8.954314590E-1	4.826710701E0
5.767704230E-1	7.869740963E0	8.092401624E-1	4.692635536E0
5.795224690E-1	7.829039574E0	7.445967197E-1	4.548983097E0
5.808061920E-1	7.819462776E0	6.943184733E-1	4.402936935E0
5.836130850E-1	7.876923561E0	6.488286853E-1	4.280832767E0
5.852531920E-1	8.085219383E0	5.698199868E-1	4.089296341E0
5.876905080E-1	8.161833763E0	5.506663918E-1	4.039018154E0
5.888933460E-1	8.315062523E0	5.171475410E-1	3.967192173E0
5.917464690E-1	8.410830498E0	4.716577232E-1	3.909731388E0
